Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Art1cidade,Art2cidade,Cidade,Capital,Uf,Estado,destaque
Abadia de Goiás GO,abadia-de-goias-go,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,6569615be1f72fe446508fff,Fri Dec 01 2023 04:30:19 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:30:19 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:33:38 GMT+0000 (Coordinated Universal Time),em,de,Abadia de Goiás,goiania,go,goias,false
Abadia dos Dourados MG,abadia-dos-dourados-mg,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,65669a661b0c0cb571fc8fc7,Wed Nov 29 2023 01:56:54 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 01:56:54 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 02:24:07 GMT+0000 (Coordinated Universal Time),em,de,Abadia dos Dourados,belo-horizonte,mg,minas-gerais,false
Abadiânia GO,abadiania-go,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,6569615b6211500323ff51be,Fri Dec 01 2023 04:30:19 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:30:19 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:33:38 GMT+0000 (Coordinated Universal Time),em,de,Abadiânia,goiania,go,goias,false
Abaeté MG,abaete-mg,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,65669a67f1dbc83752571b85,Wed Nov 29 2023 01:56:55 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 01:56:55 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 02:24:07 GMT+0000 (Coordinated Universal Time),em,de,Abaeté,belo-horizonte,mg,minas-gerais,false
Abaetetuba PA,abaetetuba-pa,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,65669abf1b0c0cb571fce1c7,Wed Nov 29 2023 01:58:23 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 01:58:23 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 02:24:07 GMT+0000 (Coordinated Universal Time),em,de,Abaetetuba,belem,pa,para,false
Abaiara CE,abaiara-ce,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,656961f479ab2f7b646ea1be,Fri Dec 01 2023 04:32:52 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:32:52 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:33:38 GMT+0000 (Coordinated Universal Time),em,de,Abaiara,fortaleza,ce,ceara,false
Abaíra BA,abaira-ba,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,656961916211500323ff720b,Fri Dec 01 2023 04:31:13 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:31:13 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:33:38 GMT+0000 (Coordinated Universal Time),em,de,Abaíra,salvador,ba,bahia,false
Abaré BA,abare-ba,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,65696191050a0d478f024992,Fri Dec 01 2023 04:31:13 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:31:13 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 04:33:38 GMT+0000 (Coordinated Universal Time),em,de,Abaré,salvador,ba,bahia,false
Abatiá PR,abatia-pr,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,65669fc2c265148e9da81a3b,Wed Nov 29 2023 02:19:46 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 02:19:46 GMT+0000 (Coordinated Universal Time),Wed Nov 29 2023 02:24:07 GMT+0000 (Coordinated Universal Time),em,de,Abatiá,curitiba,pr,parana,false
Abdon Batista SC,abdon-batista-sc,6557b2d539f4fb523b53d973,6552987bfd4a5980b0cc5b42,6569559179ab2f7b64666932,Fri Dec 01 2023 03:40:01 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 03:40:01 GMT+0000 (Coordinated Universal Time),Fri Dec 01 2023 03:46:27 GMT+0000 (Coordinated Universal Time),em,de,Abdon Batista,florianopolis,sc,santa-catarina,false
